n_trials,T_obs,n_sims,formula,mc_numba,abs_delta,numba_sec
10,1000,4000,0.04979317032084743,0.04935720213735246,0.0004359681834949711,0.33658140202169307
100,1000,4000,0.08002468995929155,0.07915691170157337,0.0008677782577181797,3.312764265021542
1000,1000,4000,0.10293598043757485,0.10280482685590962,0.00013115358166522484,37.64151156099979
5000,1000,4000,0.11661541089915586,0.1167341806024489,0.0001187697032930396,289.1354638680059
