market,allocator,oos_vol_ann,oos_sharpe_ann,dsr,mean_eff_n,mean_hhi,mean_cond,n_folds,n_oos_days
assets,nco,0.0675,-0.094,0.197,5.9,0.189,2314505370470936.0,79,4965
assets,hrp,0.0708,0.099,0.498,10.5,0.1383,2314505370470936.0,79,4965
assets,min_var_raw,0.073,0.01,0.344,4.2,0.2846,2314505370470936.0,79,4965
assets,tic_nco,0.0739,0.038,0.389,9.8,0.1305,22.1,79,4965
assets,hrp_denoise,0.0836,0.019,0.358,11.0,0.147,35.0,79,4965
assets,1/N,0.0913,0.071,0.448,18.2,0.0906,2314505370470936.0,79,4965
assets,inv_var,0.0913,0.071,0.448,18.2,0.0906,2314505370470936.0,79,4965
assets,mean_var_raw,0.1004,0.127,0.548,3.7,0.3984,2314505370470936.0,79,4965
assets,nco_denoise_detone,0.1107,0.101,0.5,14.7,0.1083,261456025443056.2,79,4965
