market,allocator,oos_vol_ann,oos_sharpe_ann,dsr,mean_eff_n,mean_hhi,mean_cond,n_folds,n_oos_days
assets,tic_nco,0.1463,0.102,0.344,3.8,0.2829,14652.4,79,4965
assets,hrp,0.1589,0.154,0.433,4.9,0.2126,1.882381684853607e+16,79,4965
assets,hrp_denoise,0.1618,0.156,0.438,4.8,0.2168,36419.6,79,4965
assets,inv_var,0.1665,0.272,0.639,6.8,0.1503,1.882381684853607e+16,79,4965
assets,nco_denoise_detone,0.1795,0.344,0.749,6.3,0.1605,1.7439718172834324e+16,79,4965
assets,nco,0.181,-0.044,0.15,2.5,0.5116,1.882381684853607e+16,79,4965
assets,1/N,0.2822,0.087,0.319,18.2,0.0906,1.882381684853607e+16,79,4965
assets,min_var_raw,0.2917,-0.031,0.167,2.1,0.5658,1.882381684853607e+16,79,4965
assets,mean_var_raw,0.4176,0.162,0.439,2.6,0.4725,1.882381684853607e+16,79,4965
