market,allocator,oos_vol_ann,oos_sharpe_ann,dsr,mean_eff_n,mean_hhi,mean_cond,n_folds,n_oos_days
AAVE_30m_17W,1/N,0.0132,-4.318,0.0,299.8,0.0033,1.7321223396968842e+17,25.0,1519.0
AAVE_30m_17W,inv_var,0.0132,-4.318,0.0,299.8,0.0033,1.7321223396968842e+17,25.0,1519.0
AAVE_30m_17W,hrp_denoise,0.0138,-4.272,0.0,243.8,0.0041,2.5169511777749386e+17,25.0,1519.0
AAVE_30m_17W,hrp,0.0138,-4.272,0.0,243.8,0.0041,1.7321223396968842e+17,25.0,1519.0
AAVE_30m_17W,nco_denoise_detone,0.0147,-3.797,0.0,133.7,0.0075,2.6104575774307952e+17,25.0,1519.0
AAVE_30m_17W,min_var_raw,0.0151,-3.876,0.0,111.7,0.009,1.7321223396968842e+17,25.0,1519.0
AAVE_30m_17W,nco,0.0156,-3.613,0.0,109.6,0.0092,1.7321223396968842e+17,25.0,1519.0
AAVE_30m_17W,mean_var_raw,0.0161,-3.083,0.0,88.2,0.0114,1.7321223396968842e+17,25.0,1519.0
ALGO_30m_6W_1MetaW,1/N,0.0117,-5.453,0.0,299.3,0.0033,5.608480794198453e+17,6.0,373.0
ALGO_30m_6W_1MetaW,inv_var,0.0117,-5.453,0.0,299.3,0.0033,5.608480794198453e+17,6.0,373.0
ALGO_30m_6W_1MetaW,hrp_denoise,0.0122,-5.473,0.0,252.7,0.004,4.3588667373390675e+17,6.0,373.0
ALGO_30m_6W_1MetaW,hrp,0.0122,-5.473,0.0,252.7,0.004,5.608480794198453e+17,6.0,373.0
ALGO_30m_6W_1MetaW,nco_denoise_detone,0.0128,-5.216,0.0,134.7,0.0074,2.3303894089658678e+17,6.0,373.0
ALGO_30m_6W_1MetaW,min_var_raw,0.0143,-4.129,0.0,110.3,0.0091,5.608480794198453e+17,6.0,373.0
ALGO_30m_6W_1MetaW,nco,0.0145,-3.718,0.0,115.2,0.0089,5.608480794198453e+17,6.0,373.0
ALGO_30m_6W_1MetaW,mean_var_raw,0.0146,-4.675,0.0,87.2,0.0115,5.608480794198453e+17,6.0,373.0
APE_30m_12W,1/N,0.0129,-5.46,0.0,299.9,0.0033,1.8506718113522342e+17,16.0,998.0
APE_30m_12W,inv_var,0.0129,-5.46,0.0,299.9,0.0033,1.8506718113522342e+17,16.0,998.0
APE_30m_12W,hrp_denoise,0.0133,-5.603,0.0,249.6,0.004,1.7488820974644477e+17,16.0,998.0
APE_30m_12W,hrp,0.0133,-5.603,0.0,249.6,0.004,1.8506718113522342e+17,16.0,998.0
APE_30m_12W,nco_denoise_detone,0.0144,-4.624,0.0,135.0,0.0074,3.217357444305751e+17,16.0,998.0
APE_30m_12W,nco,0.0148,-4.715,0.0,113.0,0.009,1.8506718113522342e+17,16.0,998.0
APE_30m_12W,min_var_raw,0.02,-4.17,0.0,106.5,0.0101,1.8506718113522342e+17,16.0,998.0
APE_30m_12W,mean_var_raw,0.0212,-3.329,0.0,84.9,0.0122,1.8506718113522342e+17,16.0,998.0
ARB_30m_6W_1MetaW,1/N,0.014,-3.893,0.0,299.7,0.0033,3.820327251975724e+17,6.0,374.0
ARB_30m_6W_1MetaW,inv_var,0.014,-3.893,0.0,299.7,0.0033,3.820327251975724e+17,6.0,374.0
ARB_30m_6W_1MetaW,hrp_denoise,0.0147,-3.996,0.0,236.6,0.0042,2.2204900653677594e+17,6.0,374.0
ARB_30m_6W_1MetaW,hrp,0.0147,-3.996,0.0,236.6,0.0042,3.820327251975724e+17,6.0,374.0
ARB_30m_6W_1MetaW,nco_denoise_detone,0.0154,-2.852,0.0,132.4,0.0076,2.1146235195314768e+17,6.0,374.0
ARB_30m_6W_1MetaW,mean_var_raw,0.0157,-2.969,0.0,92.5,0.0109,3.820327251975724e+17,6.0,374.0
ARB_30m_6W_1MetaW,min_var_raw,0.0172,-2.699,0.0,118.4,0.0085,3.820327251975724e+17,6.0,374.0
ARB_30m_6W_1MetaW,nco,0.0179,-2.381,0.0,103.0,0.0097,3.820327251975724e+17,6.0,374.0
ATOM_30m_6W_1MetaW,1/N,0.012,-4.923,0.0,300.0,0.0033,3.105881299641628e+17,6.0,373.0
ATOM_30m_6W_1MetaW,inv_var,0.012,-4.923,0.0,300.0,0.0033,3.105881299641628e+17,6.0,373.0
ATOM_30m_6W_1MetaW,hrp_denoise,0.0122,-5.042,0.0,236.5,0.0042,2.901768103189566e+17,6.0,373.0
ATOM_30m_6W_1MetaW,hrp,0.0122,-5.042,0.0,236.5,0.0042,3.105881299641628e+17,6.0,373.0
ATOM_30m_6W_1MetaW,min_var_raw,0.0132,-4.896,0.0,113.9,0.0088,3.105881299641628e+17,6.0,373.0
ATOM_30m_6W_1MetaW,nco_denoise_detone,0.0134,-4.348,0.0,133.5,0.0075,8.15161666188844e+16,6.0,373.0
ATOM_30m_6W_1MetaW,mean_var_raw,0.0155,-3.293,0.0,83.2,0.0121,3.105881299641628e+17,6.0,373.0
ATOM_30m_6W_1MetaW,nco,0.0162,-3.056,0.0,100.5,0.0101,3.105881299641628e+17,6.0,373.0
AUDUSD_fx,hrp_denoise,0.0292,-5.626,0.0,184.4,0.0055,3.503357729873846e+18,11.0,684.0
AUDUSD_fx,hrp,0.0292,-5.626,0.0,184.4,0.0055,2.7807608095163377e+18,11.0,684.0
AUDUSD_fx,1/N,0.0341,-5.166,0.0,299.6,0.0033,2.7807608095163377e+18,11.0,684.0
AUDUSD_fx,inv_var,0.0341,-5.166,0.0,299.6,0.0033,2.7807608095163377e+18,11.0,684.0
AUDUSD_fx,nco,0.0395,-3.979,0.0,43.2,0.027,2.7807608095163377e+18,11.0,684.0
AUDUSD_fx,nco_denoise_detone,0.0505,-3.249,0.0,28.9,0.0609,2.9628710783800986e+18,11.0,684.0
AUDUSD_fx,mean_var_raw,0.0542,-4.361,0.0,31.7,0.0392,2.7807608095163377e+18,11.0,684.0
AUDUSD_fx,min_var_raw,0.0562,-3.7,0.0,22.1,0.0688,2.7807608095163377e+18,11.0,684.0
AVAX_30m_17W,1/N,0.0142,-3.083,0.0,299.8,0.0033,1.9348395065742377e+18,25.0,1520.0
AVAX_30m_17W,inv_var,0.0142,-3.083,0.0,299.8,0.0033,1.9348395065742377e+18,25.0,1520.0
AVAX_30m_17W,hrp_denoise,0.0149,-3.145,0.0,244.1,0.0041,1.979490750133552e+17,25.0,1520.0
AVAX_30m_17W,hrp,0.0149,-3.145,0.0,244.1,0.0041,1.9348395065742377e+18,25.0,1520.0
AVAX_30m_17W,nco,0.0157,-3.009,0.0,115.3,0.0089,1.9348395065742377e+18,25.0,1520.0
AVAX_30m_17W,nco_denoise_detone,0.016,-3.185,0.0,132.3,0.0077,1.9565959658972304e+17,25.0,1520.0
AVAX_30m_17W,mean_var_raw,0.0166,-2.391,0.0,88.3,0.0114,1.9348395065742377e+18,25.0,1520.0
AVAX_30m_17W,min_var_raw,0.0167,-2.973,0.0,109.5,0.0092,1.9348395065742377e+18,25.0,1520.0
BCH_30m_20W,1/N,0.0117,-7.048,0.0,299.7,0.0033,2.943321252453047e+17,30.0,1833.0
BCH_30m_20W,inv_var,0.0117,-7.048,0.0,299.7,0.0033,2.943321252453047e+17,30.0,1833.0
BCH_30m_20W,hrp_denoise,0.0121,-7.508,0.0,253.6,0.0039,3.367562132359193e+17,30.0,1833.0
BCH_30m_20W,hrp,0.0121,-7.508,0.0,253.6,0.0039,2.943321252453047e+17,30.0,1833.0
BCH_30m_20W,nco_denoise_detone,0.0134,-6.08,0.0,135.1,0.0074,4.0051540127262515e+17,30.0,1833.0
BCH_30m_20W,nco,0.0136,-6.245,0.0,126.6,0.008,2.943321252453047e+17,30.0,1833.0
BCH_30m_20W,min_var_raw,0.0139,-6.41,0.0,109.8,0.0092,2.943321252453047e+17,30.0,1833.0
BCH_30m_20W,mean_var_raw,0.0157,-4.442,0.0,84.9,0.0118,2.943321252453047e+17,30.0,1833.0
BNB_15m_30W,1/N,0.0156,-6.71,0.0,300.0,0.0033,1.5402364562148717e+17,21.0,1311.0
BNB_15m_30W,inv_var,0.0156,-6.71,0.0,300.0,0.0033,1.5402364562148717e+17,21.0,1311.0
BNB_15m_30W,hrp_denoise,0.0157,-6.678,0.0,259.8,0.0039,1.9302805066957414e+17,21.0,1311.0
BNB_15m_30W,hrp,0.0157,-6.678,0.0,259.8,0.0039,1.5402364562148717e+17,21.0,1311.0
BNB_15m_30W,min_var_raw,0.0166,-6.378,0.0,111.0,0.009,1.5402364562148717e+17,21.0,1311.0
BNB_15m_30W,nco,0.0171,-5.658,0.0,107.8,0.0095,1.5402364562148717e+17,21.0,1311.0
BNB_15m_30W,nco_denoise_detone,0.0171,-5.97,0.0,136.6,0.0073,3.0755268419104845e+17,21.0,1311.0
BNB_15m_30W,mean_var_raw,0.0179,-5.367,0.0,89.8,0.0112,1.5402364562148717e+17,21.0,1311.0
BTC_30m_27W,1/N,0.0146,-4.291,0.0,299.1,0.0033,5.5151879356459904e+17,41.0,2565.0
BTC_30m_27W,inv_var,0.0146,-4.291,0.0,299.1,0.0033,5.5151879356459904e+17,41.0,2565.0
BTC_30m_27W,hrp_denoise,0.0148,-4.446,0.0,263.6,0.0038,2.417139591568725e+17,41.0,2565.0
BTC_30m_27W,hrp,0.0148,-4.446,0.0,263.6,0.0038,5.5151879356459904e+17,41.0,2565.0
BTC_30m_27W,nco,0.0162,-3.701,0.0,110.0,0.0093,5.5151879356459904e+17,41.0,2565.0
BTC_30m_27W,min_var_raw,0.0164,-3.345,0.0,105.9,0.0095,5.5151879356459904e+17,41.0,2565.0
BTC_30m_27W,nco_denoise_detone,0.0165,-3.672,0.0,137.3,0.0074,1.7310132984837552e+17,41.0,2565.0
BTC_30m_27W,mean_var_raw,0.0174,-3.322,0.0,89.6,0.0112,5.5151879356459904e+17,41.0,2565.0
DOGE_30m_21W,1/N,0.0121,-3.347,0.0,299.9,0.0033,6.46778961936606e+17,31.0,1937.0
DOGE_30m_21W,inv_var,0.0121,-3.347,0.0,299.9,0.0033,6.46778961936606e+17,31.0,1937.0
DOGE_30m_21W,hrp_denoise,0.0123,-3.423,0.0,267.1,0.0037,2.2600484934867037e+17,31.0,1937.0
DOGE_30m_21W,hrp,0.0123,-3.423,0.0,267.1,0.0037,6.46778961936606e+17,31.0,1937.0
DOGE_30m_21W,nco_denoise_detone,0.0137,-2.863,0.0,136.8,0.0073,1.157550962195234e+17,31.0,1937.0
DOGE_30m_21W,nco,0.0139,-2.7,0.0,121.1,0.0084,6.46778961936606e+17,31.0,1937.0
DOGE_30m_21W,min_var_raw,0.0148,-2.625,0.0,109.5,0.0092,6.46778961936606e+17,31.0,1937.0
DOGE_30m_21W,mean_var_raw,0.0154,-2.329,0.0,87.7,0.0115,6.46778961936606e+17,31.0,1937.0
DOT_30m_6W_1MetaW,1/N,0.0132,-4.291,0.0,299.8,0.0033,1.0523083522210304e+17,6.0,373.0
