bar_type,pairs,med_abs_skew,med_exkurt,med_abs_ac1,med_jb,frac_normal,med_count_cv
time,27,0.41450016225390107,6.922305356672105,0.026250652069383575,4005.7834518921145,0.0,0.03707062588239972
tick,27,0.4715003078001674,8.742539760706245,0.02598871370309565,7417.229322485001,0.0,0.900929464127921
volume,27,0.21767844792044266,3.7252072515278014,0.01813188928178793,1189.4112505993335,0.0,0.8035545144244632
dollar,27,0.5320703645475601,8.477506163692121,0.029219554056372804,5547.840946208708,0.0,1.1572152036439953
