pair,exkurt_time,exkurt_tick,absskew_time,absskew_tick,ac1_time,ac1_tick,n_time,n_tick
AUDUSD,2.391190583415364,0.27663938200771954,0.009454406582801124,0.14773217586992332,0.02748472541651037,0.01306521904848709,1092,1093
EURGBP,3.8866833444427895,2.607669115887594,0.38856689218218665,0.32128939753994334,0.05843897993864005,0.002896312980598422,1093,1092
EURUSD,1.9157031748430642,0.2935915071299826,0.2592958951518362,0.04221275002492779,0.003027438376835035,0.031586640079361676,1092,1093
GBPUSD,8.077836407070421,1.7181644779921257,0.018314064075727658,0.06256078963792859,0.02202368661839279,0.0052405852911119235,1093,1092
NZDUSD,1.5286907675594374,0.5910352208552561,0.13839321804208385,0.1128440273212118,0.041112241476850636,0.04417191639596384,1093,1093
USDCAD,2.0539025239373503,1.0880346082721095,0.0735662328598626,0.10290629609587797,0.0579486643802799,0.026139256112580726,1093,1093
USDCHF,4.328690151690699,1.0320672331474032,0.5479517388278595,0.2525530179725135,0.019858404594049674,0.02354483345232067,1092,1093
USDJPY,3.574909490315794,2.1628555426886136,0.5162903907370046,0.5211593294636678,0.00944953569593197,0.048663361517040794,1092,1093
