pair,bar_type,n_bars,n,skew,exkurt,jb,jb_p,ac1,lb_p,count_cv
1000SHIBUSDT,time,1817,1816,0.9342319202163877,13.150107826789949,13348.847968760003,0.0,-0.013240286881480642,7.520443493993638e-05,0.019812760318737747
1000SHIBUSDT,tick,1814,1813,-0.1298709301945915,3.4918615142964704,926.1833382921548,7.618043961040853e-202,-0.014168856666208702,0.7896709610923341,1.3633523559497995
1000SHIBUSDT,volume,1814,1813,-0.497719029747862,3.5920500878645516,1049.5548227153704,1.2361353320075398e-228,-0.01297093358829749,0.02057673865653264,1.124983914272338
1000SHIBUSDT,dollar,1784,1783,-0.21324500971887678,2.5082042989643716,480.8886613511529,3.770109660860718e-105,-0.003785473304525045,0.21547792810241015,1.98489245823999
AAVEUSDT,time,2023,2022,0.048788197664103264,3.488579167925729,1026.1402106010446,1.5013586084636384e-223,-0.028624739122338375,0.21082826101170404,0.045277590417759646
AAVEUSDT,tick,2023,2022,0.10935479610180526,2.529593688633776,543.1326312138315,1.1488085552256828e-118,0.05588484116277453,1.4018948692581672e-05,0.696523064086883
AAVEUSDT,volume,2022,2021,0.15372431736428283,2.7075678668714565,625.2846354238981,1.6640509072680682e-136,0.007956012155279003,0.5507322399512877,0.5706902598974034
AAVEUSDT,dollar,2021,2020,-0.09054564717280364,2.294403168455176,445.83756298899726,1.5402927964581307e-97,0.045143390285388815,0.021004274910443554,0.8368767691690803
ALGOUSDT,time,2145,2144,-0.06763182564397402,3.9245766740018553,1377.5734504094762,7.306780067480176e-300,-0.07141518209994739,0.008097223149259565,0.02306620200777579
ALGOUSDT,tick,2141,2140,0.09074459089936703,2.8774339165862814,741.2036471792678,1.1211740356620108e-161,-0.031523907260069754,0.7721560261282923,0.9962037625534965
ALGOUSDT,volume,2143,2142,0.20663843677296273,4.388809628602154,1734.3459599309588,0.0,-0.011303311000634387,0.015706971801846426,0.8035545144244632
ALGOUSDT,dollar,2132,2131,0.006585759022275315,3.525611214960376,1103.6899997685148,2.1715092534780135e-240,-0.0474821533981332,0.23206846323496733,1.3433825891076012
APEUSDT,time,1506,1505,1.2292153671358181,21.507280185540274,29385.56287062874,0.0,-0.027027913166957962,0.3405695189624981,0.04356195929095261
APEUSDT,tick,1502,1501,-0.3509771593778711,6.141608569839718,2389.848151325563,0.0,-0.011322587506868117,0.658269738519897,1.3262565579132928
APEUSDT,volume,1438,1437,-0.1904500596246539,4.956696799371018,1479.7464426966246,0.0,0.03322899359887063,0.6459824379947484,1.2090106292126306
APEUSDT,dollar,1475,1474,-1.581432738969521,39.00243291343598,94040.80025111481,0.0,-0.04675283014189464,1.0433715826807025e-10,2.096521738629839
APTUSDT,time,1290,1289,0.10542912271686619,6.375943739908621,2185.774474536496,0.0,-0.002380796288817527,0.009010592424295452,0.03792064545345553
APTUSDT,tick,1290,1289,-0.11885029517535703,1.662712398958294,151.51733604075875,1.2543782712332122e-33,0.004597042225953556,0.7975000587976843,0.7807023274148787
APTUSDT,volume,1289,1288,-0.2705962685255728,2.604522797373452,379.76832221195326,3.42260382088305e-83,0.012422156061452761,0.4891473403552533,0.9565816523247779
APTUSDT,dollar,1284,1283,-0.23129606626557994,2.1872000218694643,267.1759516535205,9.62674016204124e-59,0.02258725033843935,0.11529226542796109,1.4846342033249265
ARBUSDT,time,1135,1134,-0.0002461240050504852,2.369695723505922,265.33039353866445,2.4223511650570637e-58,0.0024417232892472575,0.9618351876653592,0.050180842666206864
ARBUSDT,tick,1135,1134,-0.07313758445714807,2.374236714016557,267.3592298633833,8.78376872199268e-59,-0.008489555264257254,0.6484038242353857,0.7826851215654148
ARBUSDT,volume,1134,1133,-0.179787187644733,1.515840376615908,114.57773030486702,1.317534480722946e-25,0.04800884005649946,0.35430177913031047,0.6326913600465817
ARBUSDT,dollar,1133,1132,-0.14778604656661834,3.1847556074615913,482.5164688406184,1.6706292369685425e-105,-0.035689313818661264,0.06704563372919557,1.1572152036439953
ATOMUSDT,time,2275,2274,-0.4127908227012847,6.0919405606023815,3580.9175292663317,0.0,-0.06430912067639541,0.014650256734600946,0.042693830199649216
ATOMUSDT,tick,2275,2274,-1.0244747900730238,17.069303642425492,28004.245685528756,0.0,-0.008470203837620503,0.41824564407621434,0.900929464127921
ATOMUSDT,volume,2275,2274,-0.33086938271139427,5.334454820508766,2737.735533836258,0.0,-0.015229066104392352,0.0002654673209943438,0.6242153048328788
ATOMUSDT,dollar,2275,2274,-0.9559924325096422,14.56403002276733,20443.89071551541,0.0,-0.029219554056372804,0.0014041384744438222,1.3448627031938438
AVAXUSDT,time,2046,2045,0.47068506339382243,5.044031371904083,2243.4016563149075,0.0,-0.026250652069383575,0.03030748104525438,0.030117042300962994
AVAXUSDT,tick,2046,2045,0.4715003078001674,8.392106898628423,6076.777858092296,0.0,0.10378188383335851,1.7599761980480193e-07,0.6927326370907174
AVAXUSDT,volume,2046,2045,0.04424003053231016,4.966819706469374,2102.6968390773777,0.0,0.0877328402919563,0.004360049427304306,0.6101631453763553
AVAXUSDT,dollar,2046,2045,0.5971642814951922,14.028352775915046,16890.08976034506,0.0,0.04665534640383872,4.590860478870929e-06,0.8636454993536077
BCHUSDT,time,2312,2311,-0.467252827448343,19.66307719843038,37313.97467262951,0.0,-0.10591592473442196,4.51553526060217e-09,0.023543685225007622
BCHUSDT,tick,2311,2310,-0.36612412365504815,8.747910341065705,7417.229322485001,0.0,-0.011262697515436067,0.48478205569647925,0.9299290083648104
BCHUSDT,volume,2294,2293,-0.7091138815283214,16.065778382907393,24852.356139538406,0.0,-0.025011935383951318,0.00014239162375316336,1.349900571694705
BCHUSDT,dollar,2303,2302,-0.7479678195062064,10.68630083438809,11168.042595994737,0.0,-0.012029937046788742,0.0012925249901150702,1.2770052565321923
BNBUSDT,time,2272,2271,0.49054427452060595,14.231623259228954,19256.342243450068,0.0,-0.009263860022790444,0.010784868195281766,0.017720726654923136
BNBUSDT,tick,2272,2271,-0.9863387023671086,17.032363460204547,27819.07448950382,0.0,-0.01494434476093438,0.5672953355845389,0.6865023864997386
BNBUSDT,volume,2270,2269,-0.21767844792044266,1.5985947344945997,259.52072775349797,4.4237441218756893e-57,-0.012570873622123127,0.39809850003210884,0.9772382353154713
BNBUSDT,dollar,2267,2266,-0.7635444578439847,21.565306987414257,44129.82749985062,0.0,-0.03199646985038256,0.00423832764561337,1.0253013157107767
BTCUSDT,time,2312,2311,-1.6911385957377778,28.506070864654514,79347.78781042139,0.0,-0.07920059262487687,6.541650052983995e-05,0.023543685225007622
BTCUSDT,tick,2312,2311,-0.9848548481269553,17.200369191796717,28861.73780219077,0.0,0.03221949203895135,0.3622258828139492,0.49749167186372395
BTCUSDT,volume,2312,2311,-0.48259465371778976,5.395636039304611,2893.0329250565337,0.0,0.033056627284066956,0.00922965928986958,0.5544196406195512
BTCUSDT,dollar,2312,2311,-1.1072560624646588,32.69228275584312,103387.3433239118,0.0,0.0024589328501636388,0.05970835916499299,0.49512029316820527
DOGEUSDT,time,2121,2120,4.6178391750195145,79.12764235787056,560605.8693402064,0.0,-0.0034543549367071266,2.5980005250883243e-05,0.04421812390595849
DOGEUSDT,tick,2119,2118,1.580589615759354,18.559859705968854,31281.222648244533,0.0,0.043924437212272634,5.054006455599592e-09,1.0388380767857335
DOGEUSDT,volume,2114,2113,0.18361304478705617,4.996839862345628,2210.1331670666514,0.0,0.01609217723544951,0.012672111072788012,0.915509977674543
DOGEUSDT,dollar,2117,2116,2.5270386147894244,57.20140852315606,290733.5361690599,0.0,-0.029652264693985537,3.3185953080531925e-19,1.2361422924413519
DOTUSDT,time,2078,2077,-0.16375301509825171,4.329784790004196,1631.6822453231732,0.0,-0.0268756950723043,0.39570809539282786,0.052487206539636136
DOTUSDT,tick,2078,2077,-0.9282758227056355,12.679029524922099,14210.537482800311,0.0,-0.038970457264214525,0.06662008685774773,0.6743757852160497
DOTUSDT,volume,2075,2074,-0.6865910141351926,9.289354763732154,7620.026434931654,0.0,-0.006673158737826985,0.27234234975627986,0.5599242622638261
DOTUSDT,dollar,2078,2077,-0.20133535313764148,2.8987973018281528,741.2440433606157,1.0987556275001548e-161,-0.009431087387897665,0.6542723881192964,0.9601784858477741
ETCUSDT,time,2297,2296,0.5329491611022824,9.166681408987346,8147.373917137613,0.0,-0.0030297453778185966,0.05924483319031675,0.03527131709022778
ETCUSDT,tick,2289,2288,-0.5976376283126263,9.635143382164193,8986.565295704473,0.0,-0.034088300618628775,0.035565049907420265,1.0729276616946886
ETCUSDT,volume,2295,2294,-0.32192748065060156,2.6546231100638336,713.2020257188079,1.3494222726541162e-155,0.01813188928178793,0.43754703812151674,1.0509935393807708
ETCUSDT,dollar,2263,2262,-0.30402657661061194,4.52387177086485,1963.7123631278864,0.0,0.044733031011302965,0.12274323240935632,1.7245680901255265
ETHUSDT,time,2312,2311,-1.2924768719423174,20.103907010068347,39561.341017727085,0.0,-0.07267325580268864,3.471182168841486e-07,0.023543685225007622
ETHUSDT,tick,2312,2311,-1.0641922146641583,18.792032023040516,34440.68739101437,0.0,0.05410376290503037,0.00011655857560588666,0.655455102249439
ETHUSDT,volume,2312,2311,-0.13079227860453904,2.533279166884965,624.5409920528241,2.4134967288885445e-136,0.028876795826663818,0.19903500862662052,0.5494895907974376
ETHUSDT,dollar,2311,2310,-0.8884171026909534,21.13538728787961,43299.19205170002,0.0,-0.04544854877096497,5.733625453909733e-06,0.6137127157328138
HBARUSDT,time,1866,1865,0.7313415877320492,7.868253600496171,4977.129913328749,0.0,-0.10978792981498241,4.781686527070449e-06,0.04087561644596074
HBARUSDT,tick,1865,1864,-0.18852748037846237,2.9253388719027935,675.6827548076604,1.8938868776572997e-147,-0.03916699358857774,0.00018735526905062387,1.4605134377717723
HBARUSDT,volume,1851,1850,-0.43378680459018487,5.939330114283047,2777.183475895212,0.0,-0.045605699370402174,0.01346551787210562,1.4617157603124635
HBARUSDT,dollar,1841,1840,-0.8084066192948156,8.477506163692121,5710.301678300273,0.0,-0.06242858484201675,0.04933730320988933,1.840114710879723
ICPUSDT,time,1708,1707,0.39564288768324046,7.462854450512589,4005.7834518921145,0.0,-0.013726800579627581,0.22375318800507465,0.03285400278850075
ICPUSDT,tick,1708,1707,-0.09448102752564828,1.9289937395909176,267.19695933794526,9.526151610329504e-59,0.03705167453649111,0.4252895935051607,1.0609732100793863
ICPUSDT,volume,1705,1704,-0.5737949460812114,6.838721791771649,3414.040559715051,0.0,-0.013668294714855542,0.5382265057525023,1.0440260273881885
ICPUSDT,dollar,1707,1706,-0.5320703645475601,8.770097201529651,5547.840946208708,0.0,0.019685100860884635,0.07152584050230158,1.28312969757749
LINKUSDT,time,2296,2295,-0.3511736753105712,3.8376503907096184,1455.4940033140304,0.0,-0.060671384053803366,0.12790518552367752,0.04249795263649776
LINKUSDT,tick,2296,2295,-1.0061278211071985,15.066878489615213,22095.112518212096,0.0,-0.0044284972191708785,0.06999504036668494,0.5913981600064554
LINKUSDT,volume,2295,2294,-0.20189246545966869,3.2573924456907006,1029.7811703821162,2.431420463887734e-224,-0.017691081363352238,0.12175294894550807,0.5683350211582493
LINKUSDT,dollar,2296,2295,-0.5151892722734933,8.959406888465217,7777.43482245971,0.0,0.005981109813738676,0.06899623990248256,0.6760039713686843
LTCUSDT,time,2299,2298,-0.5878683753478752,4.90478463979854,2435.8100325776327,0.0,-0.01901085957650175,0.3545288391227425,0.04234605665153732
LTCUSDT,tick,2298,2297,-1.351320163895916,15.791640826607289,24566.43268096387,0.0,0.008902689562855974,0.030217874877133472,0.6608061716122112
LTCUSDT,volume,2297,2296,-0.4907279108467336,3.9450147875754134,1581.025332527928,0.0,-0.011203366991523609,0.8742541786054154,0.6164895488579952
LTCUSDT,dollar,2292,2291,-0.6158248926491244,3.5766090492707185,1365.9222155842251,2.4760506899253916e-297,-0.0035466716597423948,0.0821557216834465,0.8917393186513437
