pair,gran_min,base_bars,exkurt_time,absskew_time,exkurt_tick,absskew_tick,exkurt_volume,absskew_volume,exkurt_dollar,absskew_dollar
BNBUSDT,1,1578065,2.9422144641756622,0.36717006057399726,1.9073005081913017,0.2822098791805044,2.019186021039446,0.22555326887270427,4.593668247962267,0.07250830410374491
BNBUSDT,5,315619,5.277153194364908,0.4662301921401948,1.9781388778789752,0.2604733075475494,1.8898804487183805,0.2138320709188675,3.9348019399137923,0.05376038565613996
BNBUSDT,15,105211,5.248269455807767,0.4491072341548872,1.9181774768790687,0.2332645024728955,1.9397851503705024,0.23744323137715764,4.378696149690645,0.07931897319417935
BNBUSDT,30,52607,6.117243483217095,0.5006201217281253,2.1797585886687685,0.12608829066166097,2.7402797099639455,0.23958813770558007,2.0559618155165236,0.06718409951261696
BNBUSDT,60,26304,4.369477497002779,0.42941370946842344,2.325043109987573,0.19716073826291364,1.9230671290042283,0.08514029252583157,2.2807160133378206,0.10874414374867336
BTCUSDT,1,1577969,3.5632559864012414,0.06666229611842443,0.6622114030743425,0.010602325990887118,0.4986858936843426,0.06119010365645126,0.9337872539423726,0.14798036133121223
BTCUSDT,5,315600,4.203438376906063,0.1793541355472333,0.6666673510845458,0.026294701072806372,0.42055801328996445,0.02890655655822931,0.9885551704490747,0.19568473288420055
BTCUSDT,15,105205,3.9389504644035807,0.2711341715672441,0.5522511726076029,0.049674454647555294,0.42273422335266364,0.05997504870285887,1.0229013107587965,0.15071628288144376
BTCUSDT,30,52605,5.4128041733955214,0.35371694718318425,0.644881403685043,0.004291676800976426,0.4952377900011573,0.05007955290889288,1.0518710070079749,0.18621648211428507
BTCUSDT,60,26304,4.865697900113372,0.15620959160414455,0.5840948468296094,0.013584303356824947,0.5951565987099516,0.011711451185773469,0.9262011082814428,0.11255165607572658
DOGEUSDT,1,1578064,12.236315330820437,1.356569616008369,1.7916978777253405,0.059678757408742546,1.3322817187044507,0.29482356913283986,1.1261749438360944,0.10494300322540426
DOGEUSDT,5,315619,6.869768385205472,0.3991901110502873,1.2362321831319383,0.01911954984453576,1.2476499486517865,0.2820838934643395,1.1454918366394367,0.14439177076882942
DOGEUSDT,15,105211,6.178826321303399,0.39630144515618104,1.4324992898548468,0.04269288076474619,1.3320312145892759,0.16619537663007702,2.057869930274842,0.19473121701397955
DOGEUSDT,30,52607,5.781814913280751,0.321022118819512,1.415503501766362,0.04531660646609235,1.4552807864478439,0.225609359968959,2.254212602404321,0.20719691378830443
DOGEUSDT,60,26304,5.604814198581636,0.45966099227398194,1.7874636607236498,0.08539141843101519,1.6494978037065957,0.17152266572852182,2.0353674552025245,0.12022232664602943
ETHUSDT,1,1578065,3.1931589715257642,0.057834206046524755,1.0650343481857965,0.3162459460774208,1.9395714571980998,0.26125275992169134,1.0707030704199454,0.28259949813242136
ETHUSDT,5,315619,3.564397413583003,0.11988407587971385,1.0187051555180284,0.3390712939640604,1.812666705770507,0.2151071095835699,0.9867434330929097,0.27945907445522433
ETHUSDT,15,105211,4.321859921037671,0.1582536392184198,1.1279536795709735,0.304399196218933,1.728358028426329,0.1415059616831183,1.2741376437835426,0.36192085402295204
ETHUSDT,30,52607,4.717021594394278,0.23991564769043175,0.7346474739864606,0.22809297924654393,1.6023716141830766,0.13051785681997224,1.2678915631732277,0.3171404245254469
ETHUSDT,60,26304,4.133010286703346,0.2187171231984592,1.2259559380869414,0.21257179247041555,1.0569496202230493,0.06735734925169985,1.1105729292455404,0.23713843312706104
SOLUSDT,1,1570865,30.52510102752011,1.2508928950550924,4.067238402576377,0.36682685920473845,2.73170972500397,0.3021882475187786,5.8571531187166705,0.05592863266380441
SOLUSDT,5,314181,26.06775075202265,1.1418322232589995,4.081309715117721,0.4219239106959624,2.0971050201468744,0.21032921085051634,5.811594509883777,0.0423709320454371
SOLUSDT,15,104733,28.573302010253258,1.5919514785420628,4.505993429904599,0.584901428386005,1.7634472977462776,0.2540760657751006,4.947083158147043,0.05046130410392789
SOLUSDT,30,52369,33.97266375771443,1.6515150236447513,4.620889837299212,0.489270571281159,2.2030066406530837,0.31765203055804436,4.156054447825284,0.0662784320567953
SOLUSDT,60,26186,43.60526858142923,1.802273793493878,2.8160386193687605,0.40154043331126216,2.160896309639318,0.3122748426806293,5.062541236539987,0.13279805763968805
