pair,bar_type,n_bars,n,skew,exkurt,jb,jb_p,ac1,lb_p,count_cv
1000SHIBUSDT,time,1096,1095,1.0380333964510724,10.75857036697579,5477.595591182827,0.0,-0.02269854668634064,0.0009486572758652598,0.08245921238769882
1000SHIBUSDT,tick,1096,1095,-0.11841663208049245,2.498704472715688,287.4198904373276,3.868688806570751e-63,-0.055002900223312154,0.6589385212031383,1.1399720982861705
1000SHIBUSDT,volume,1096,1095,-0.2870371586487665,2.57731306143699,318.1022421910667,8.413481956557558e-70,-0.03317186167989459,0.8138826317684857,0.7786234016022746
1000SHIBUSDT,dollar,1096,1095,0.06367690390205437,0.9930563100258984,45.73357961802846,1.172409603251707e-10,-0.0003685308830894175,0.7759013419552211,1.2491227294340603
AAVEUSDT,time,1095,1094,0.10126565747521497,3.900512311484042,695.374444032421,1.0031319201360165e-151,0.01638088724206099,0.14060754730781175,0.0832282035505413
AAVEUSDT,tick,1096,1095,-0.033653031425664365,0.6420957811886066,19.0172801107019,7.42078917706943e-05,0.012173980791532622,0.005417152466242501,0.7935604929003227
AAVEUSDT,volume,1095,1094,-0.11111042310849696,0.48182348984069456,12.833348415087295,0.001634081824599774,-0.020991841536564016,0.04766059413906385,0.6111214450087904
AAVEUSDT,dollar,1096,1095,-0.22712207970524048,1.5440426850031885,118.18725410708655,2.167523700938709e-26,0.033466908098882434,0.009596913635414083,0.9596639170611037
ALGOUSDT,time,1096,1095,0.10983956858176083,6.498168299780856,1928.7717892609162,0.0,0.03950142312848556,0.694753524504246,0.07399871613920202
ALGOUSDT,tick,1096,1095,-0.22356337236842638,0.8798967859832607,44.44516851782076,2.2328229260394355e-10,-0.023564179284942737,0.7600999690145075,0.9997916331514345
ALGOUSDT,volume,1095,1094,-0.18070737549571025,0.9534237644683987,47.39014256644533,5.1210768526088085e-11,0.0028364414526169833,0.9740700625270279,0.7419970097989311
ALGOUSDT,dollar,1095,1094,-0.21711657066063123,1.524919801385483,114.59371128821351,1.3070486815623018e-25,-0.025196731278534047,0.9439463335128799,1.158823049323547
APEUSDT,time,1021,1020,1.711767756746036,28.815156311263188,35786.437717823566,0.0,0.016010585881007282,0.36716733604639884,0.06694459024520029
APEUSDT,tick,1021,1020,0.0037113779349887367,0.9216743482086476,36.105394811647976,1.4448179654018665e-08,-0.009980585995344484,0.9330942959604411,1.2106817760353006
APEUSDT,volume,1021,1020,0.14713185790311437,2.5670196868555726,283.73770130362726,2.4386024621902472e-62,0.024105863268678692,0.8750391314232246,1.156337125383426
APEUSDT,dollar,1020,1019,-0.2525306504853338,2.931649118043751,375.7415368740466,2.563078790667045e-82,-0.06320590612184325,0.0016888456214884547,1.9512405058575863
APTUSDT,time,805,804,0.49569997941909555,6.970135360177222,1660.4496373888371,0.0,0.03908443999062044,0.1703101614447655,0.06661665207110602
APTUSDT,tick,805,804,0.13087069575946875,2.947695198071224,293.37342048167505,1.971383756780085e-64,-0.02146815169394214,0.6955387850343837,0.8742097635643907
APTUSDT,volume,805,804,-0.005215243173767056,1.6459192370827003,90.75682415648554,1.9606769213221986e-20,-0.027672247536334953,0.29595791133071087,1.1165591779259791
APTUSDT,dollar,805,804,-0.24120485514435244,2.8602377942284614,281.85825883180985,6.241036970383035e-62,-0.06455542912687286,0.027325593867501427,1.3297245875659707
ARBUSDT,time,649,648,-0.006730890534858898,3.3579467038237354,304.451656702297,7.747520676344815e-67,0.04346266039098523,0.6101054300960892,0.08514381751880967
ARBUSDT,tick,650,649,-0.1537961955086422,1.6082809427254743,72.50359394437251,1.803202977834171e-16,-0.012470071017644541,0.20112810552130678,0.7048590026764253
ARBUSDT,volume,649,648,-0.022928132728062312,1.0842009734121083,31.795052791392333,1.2467862682581805e-07,-0.08410377185484963,0.5245303829497455,0.7649591524880346
ARBUSDT,dollar,650,649,-0.26417732515194775,1.3248441582875685,55.01277381166436,1.132734034603046e-12,-0.08482202501867019,0.020898495746024755,1.022070376827666
ATOMUSDT,time,1096,1095,-0.15631747299392862,2.8494088660695116,374.8947619816569,3.9141439036319744e-82,-0.052983614370108,0.14460254452227425,0.08245921238769882
ATOMUSDT,tick,1096,1095,-0.093110156688301,0.8936763852306253,38.02093157762866,5.544464530399755e-09,-0.034335553814714134,0.32349942072134097,0.763985005172515
ATOMUSDT,volume,1095,1094,-0.07574120136970486,0.8220891890437092,31.85261012799915,1.2114168039232808e-07,-0.04756677824024513,0.07660458503721904,0.5423714714873942
ATOMUSDT,dollar,1096,1095,-0.11675035117230514,0.9442571719722062,43.1678284322471,4.2288780176352874e-10,-0.0011268454536514923,0.7906426921252825,1.1312297331270667
AVAXUSDT,time,1096,1095,-0.140728737798055,4.655418353771405,992.441312638527,3.1196592073757506e-216,0.007381290980365438,0.48950909443279433,0.08245921238769882
AVAXUSDT,tick,1096,1095,-0.29055937933301684,0.992439955695847,60.34527102841514,7.873918072932775e-14,0.045428618287805284,0.32265315079330215,0.7317718097992914
AVAXUSDT,volume,1096,1095,-0.14634309546110372,1.130280315638628,62.19594517137478,3.121203661072303e-14,0.005596038905819659,0.8565120590268454,0.6454266597200654
AVAXUSDT,dollar,1095,1094,-0.15922957913234148,1.0810636468787962,57.89606830956555,2.67934417603028e-13,0.01720968176923122,0.8781225550586395,0.7803782467117981
BCHUSDT,time,1096,1095,1.0801879407624986,8.820598259702994,3762.7018533901114,0.0,-0.01183913906130776,0.012927450465216183,0.08245921238769882
BCHUSDT,tick,1096,1095,0.19655713512904643,3.092601776679736,443.41680889877154,5.1672961898763e-97,0.022124122543576763,0.9698457005198323,1.1037085250502254
