market,pair,bar_type,n_bars,skew,exkurt,jb,jb_p,ac1,count_cv
crypto,1000SHIBUSDT,time,1096,1.0380333964510724,10.75857036697579,5477.595591182827,0.0,-0.02269854668634064,0.08245921238769882
crypto,1000SHIBUSDT,tick,1096,-0.11841663208049245,2.498704472715688,287.4198904373276,3.868688806570751e-63,-0.055002900223312154,1.1399720982861705
crypto,1000SHIBUSDT,volume,1096,-0.2870371586487665,2.57731306143699,318.1022421910667,8.413481956557558e-70,-0.03317186167989459,0.7786234016022746
crypto,1000SHIBUSDT,dollar,1096,0.06367690390205437,0.9930563100258984,45.73357961802846,1.172409603251707e-10,-0.0003685308830894175,1.2491227294340603
crypto,AAVEUSDT,time,1095,0.10126565747521497,3.900512311484042,695.374444032421,1.0031319201360165e-151,0.01638088724206099,0.0832282035505413
crypto,AAVEUSDT,tick,1096,-0.033653031425664365,0.6420957811886066,19.0172801107019,7.42078917706943e-05,0.012173980791532622,0.7935604929003227
crypto,AAVEUSDT,volume,1095,-0.11111042310849696,0.48182348984069456,12.833348415087295,0.001634081824599774,-0.020991841536564016,0.6111214450087904
crypto,AAVEUSDT,dollar,1096,-0.22712207970524048,1.5440426850031885,118.18725410708655,2.167523700938709e-26,0.033466908098882434,0.9596639170611037
crypto,ALGOUSDT,time,1096,0.10983956858176083,6.498168299780856,1928.7717892609162,0.0,0.03950142312848556,0.07399871613920202
crypto,ALGOUSDT,tick,1096,-0.22356337236842638,0.8798967859832607,44.44516851782076,2.2328229260394355e-10,-0.023564179284942737,0.9997916331514345
crypto,ALGOUSDT,volume,1095,-0.18070737549571025,0.9534237644683987,47.39014256644533,5.1210768526088085e-11,0.0028364414526169833,0.7419970097989311
crypto,ALGOUSDT,dollar,1095,-0.21711657066063123,1.524919801385483,114.59371128821351,1.3070486815623018e-25,-0.025196731278534047,1.158823049323547
crypto,APEUSDT,time,1021,1.711767756746036,28.815156311263188,35786.437717823566,0.0,0.016010585881007282,0.06694459024520029
crypto,APEUSDT,tick,1021,0.0037113779349887367,0.9216743482086476,36.105394811647976,1.4448179654018665e-08,-0.009980585995344484,1.2106817760353006
crypto,APEUSDT,volume,1021,0.14713185790311437,2.5670196868555726,283.73770130362726,2.4386024621902472e-62,0.024105863268678692,1.156337125383426
crypto,APEUSDT,dollar,1020,-0.2525306504853338,2.931649118043751,375.7415368740466,2.563078790667045e-82,-0.06320590612184325,1.9512405058575863
crypto,APTUSDT,time,805,0.49569997941909555,6.970135360177222,1660.4496373888371,0.0,0.03908443999062044,0.06661665207110602
crypto,APTUSDT,tick,805,0.13087069575946875,2.947695198071224,293.37342048167505,1.971383756780085e-64,-0.02146815169394214,0.8742097635643907
crypto,APTUSDT,volume,805,-0.005215243173767056,1.6459192370827003,90.75682415648554,1.9606769213221986e-20,-0.027672247536334953,1.1165591779259791
crypto,APTUSDT,dollar,805,-0.24120485514435244,2.8602377942284614,281.85825883180985,6.241036970383035e-62,-0.06455542912687286,1.3297245875659707
crypto,ARBUSDT,time,649,-0.006730890534858898,3.3579467038237354,304.451656702297,7.747520676344815e-67,0.04346266039098523,0.08514381751880967
crypto,ARBUSDT,tick,650,-0.1537961955086422,1.6082809427254743,72.50359394437251,1.803202977834171e-16,-0.012470071017644541,0.7048590026764253
