,crypto (27 perps),"equities (9 ETFs, RTH)",forex (8 majors)
time,5.292379392483099,9.952862739008737,2.983050036865579
tick,1.6082809427254745,3.970095862526724,1.0600509207097564
volume,1.4821860075101032,3.352814859390425,
dollar,1.5440426850031883,5.580609057265322,
