scope,n_trials,best_sharpe,sr0,dsr,pbo
all,144,0.07043676699697578,0.5345494771729182,0.0,0.10317460317460317
crypto,60,0.07043676699697578,0.05718371983714555,0.8924231727448162,0.35714285714285715
equity,42,-0.03228746940427411,0.47410134695879075,0.0,0.01984126984126984
forex,42,0.05303759068040483,0.054251453019820345,0.4549406903947764,0.1349206349206349
