market,estimator,dir_auc,vol_auc,n_instr
crypto,roll_spread,0.49820254553141163,0.5092516376339017,10
crypto,corwin_schultz,0.5013028933945398,0.505405985924086,10
crypto,amihud,0.5000233676833454,0.5232357414196167,10
crypto,tick_sign,0.5074054883499036,0.5104947350549801,10
crypto,tick_flow,0.5003979850460324,0.5101659645881881,10
crypto,kyle,0.501154201635819,0.5059567331695864,10
crypto,hasbrouck,0.5051996391304411,0.5203951483934137,10
crypto,vpin,0.4999525071885375,0.5035316684954214,10
crypto,ofi,0.49912692330917297,0.4998348670354754,10
equity,roll_spread,0.4999840084238393,0.5183518999649509,7
equity,corwin_schultz,0.50027688787281,0.5167977527560726,7
equity,amihud,0.499624827112704,0.5111580948921295,7
equity,tick_sign,0.5116313531926536,0.5149198486499834,7
equity,tick_flow,0.5066407225142966,0.5119679282566951,7
equity,kyle,0.49933317169112096,0.509862247231198,7
equity,hasbrouck,0.49997741307031746,0.5129255603006688,7
equity,vpin,0.5005813905075226,0.5306591031460643,7
equity,ofi,0.5109606126195789,0.5226792275231116,7
forex,roll_spread,0.5026872076614649,0.509709710310207,7
forex,corwin_schultz,0.5023062875575751,0.5029031255808047,7
forex,amihud,0.5006909813346667,0.5316381286489892,7
forex,tick_sign,0.5035132923575318,0.4952399089593408,7
forex,tick_flow,0.5011432547707344,0.4986107999056482,7
forex,kyle,0.5021406079649018,0.5354337613431841,7
