market,instruments,n_obs,n_feat,dir_auc,vol_auc,net_sharpe,net_mean_bp
crypto,10,8709.0,9,0.5099858522713522,0.5382059052690391,-0.01806410645975513,-2.7165454921367393
equity,7,42397.0,9,0.5129301093447355,0.5507254344715609,-0.3546371161957232,-33.44665641071289
forex,7,8694.0,6,0.5066292076005255,0.5390829778928926,-0.016362641320003122,-0.255028702135862
