instrument,n_obs,d_used,auc_raw,auc_stat,auc_gap,sr_raw,sr_stat,sr_gap,bp_raw,bp_stat,dsr_raw,dsr_stat
BTCUSDT,8759,0.4,0.4954997227777493,0.4922346090656939,-0.003265113712055401,-0.02710095166229028,-0.06564595529009909,-0.03854500362780881,-2.6779112758641905,-6.4453629849413865,,
ETHUSDT,8759,0.55,0.49415317826715643,0.503357385086714,0.009204206819557581,-0.036393301265996957,-0.05509397374025275,-0.018700672474255796,-4.48709808887614,-6.714240777193477,,
SOLUSDT,8759,0.45,0.5024560472914309,0.49210959414740724,-0.01034645314402366,-0.00044973225955658103,-0.033860217541042334,-0.033410485281485755,-0.09046129158969819,-6.7241158216737205,,
BNBUSDT,8759,0.55,0.4895715116354135,0.5028198490360212,0.013248337400607657,-0.009302520185964985,-0.031416507481879345,-0.02211398729591436,-1.0917503893204406,-3.6850987177790815,,
XRPUSDT,8754,0.4,0.5052779440713442,0.500412205880597,-0.004865738190747204,0.006057598929338845,-0.033136611268258225,-0.03919421019759707,0.9421408922329072,-5.160525775983067,,
LTCUSDT,8759,0.55,0.5041483393495862,0.4873765747341752,-0.016771764615411022,0.00028973496791743326,-0.046914361137892664,-0.0472040961058101,0.043006863046949534,-6.962656074667233,,
POOLED,52549,0.5,0.4985177905654468,0.4963850363251014,-0.0021327542403453414,-0.011149861912758756,-0.04434460440990407,-0.03319474249714532,-1.2270122150617688,-5.948666692039661,0.01749276329235964,7.104981889975374e-07
