pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len,error,ann_vol_proxy,trend_strength
BBUSDT,17919.0,0.15,-3.0012756155774603,0.034775445431342825,0.9795788386624961,0.009840765296882764,3901.0,,0.014287916909175396,1.492985286508712
BCHUSDC,18860.0,0.05,-3.0198193045621413,0.03308452447652465,0.9951069905146118,0.019241319451992388,3237.0,,0.008314410386495321,0.687237898214673
BCHUSDT,56492.0,0.05,-2.9509120290459814,0.039739892357937165,0.9979899930027262,0.008828862403650082,3237.0,,0.010270922890601221,0.20587867432989096
BEAMXUSDT,22190.0,0.15,-2.9320788071726,0.04174282104508949,0.9834513128230276,0.012732923262963571,3901.0,,0.013154912995528808,0.7951221285342508
BELUSDT,48453.0,0.05,-3.07551533138018,0.028419029814670736,0.9984471594577383,0.011350982078920699,3237.0,,0.015128961458378993,0.7366069251929133
BERAUSDT,11460.0,0.2,-3.6393845837399437,0.005051213453455816,0.9587050321553374,0.004860288269978391,3382.0,,0.014341851427327574,2.070476268801471
BICOUSDT,23391.0,0.2,-3.9237833247436447,0.0018666223418706115,0.9786740948068039,0.011518492118553882,3382.0,,0.011672430977595545,1.3594511142576822
BIGTIMEUSDT,23053.0,0.15,-3.297583833610972,0.014986823257518326,0.9818284542353669,0.01022528821384386,3901.0,,0.015016365056164625,1.3737022773377454
BIOUSDC,6668.0,0.2,-3.488209512116717,0.008295112488590044,0.8797944416082759,-0.005685513272036143,3382.0,,0.015218909109032409,1.6340049133297327
BIOUSDT,12274.0,0.0,-3.408430372666703,0.01067481611795954,1.0,-0.009020424297141786,1.0,,0.016650775302014604,1.8182637726147781
BLESSUSDT,5970.0,0.05,-3.6998163923949634,0.004115737485438874,0.9925957199398945,0.01688459832613835,3237.0,,0.03397094357788584,0.8765393244366789
BLUAIUSDT,5296.0,0.1,-3.0180941364906873,0.033238839788819585,0.9516227923951951,0.01532365065128038,4076.0,,0.02356552419949019,0.46410420739495595
BLURUSDT,27064.0,0.2,-3.8735403562398676,0.0022384390725288597,0.9761288171285214,0.007661886847512614,3382.0,,0.01205620378210019,1.7536530443168472
BMTUSDT,10527.0,0.15,-3.207220042548889,0.01957054020398162,0.9706715520933847,0.00696193443073926,3901.0,,0.013837186990241354,1.5143948481169582
BNBUSDC,21040.0,0.1,-3.6907243550362834,0.004245532330039198,0.9800991709339931,0.0038550145255490773,4076.0,,0.00600501628631858,0.840175014067177
