tau,d_star,window_len_at_dstar,adf_at_dstar,corr_level_at_dstar
0.001,0.25,71,-3.090619170797849,0.9993644740822334
0.0001,0.2,497,-3.6440317118834806,0.9974262419693922
1e-05,0.15,3901,-3.6644302847269072,0.9870264645867275
