combo_id,family,H,windows,oos_bars,oos_sharpe,oos_pf,oos_total_bp,oos_mean_bp
4,lgbm,24,7,42000,12.673122519625903,1.6222715625212374,498918.20387917676,11.879004854266114
2,lgbm,8,7,42000,20.635003886049887,2.247334147303302,652088.70637549,15.52592158036881
5,lgbm,48,7,42000,6.532378784618095,1.4322249847500441,321930.22802037874,7.665005429056636
7,lgbm,120,7,42000,4.143179097142404,1.291109938684134,234210.23718875882,5.576434218779972
0,lgbm,4,7,42000,22.41560178556481,3.058122893201981,878446.9028249551,20.915402448213214
1,lgbm,6,7,42000,22.32156798514747,2.771598578667429,846982.1636838117,20.166241992471708
3,lgbm,12,7,42000,14.704168370203593,1.9922440778410893,568561.4516353948,13.537177419890355
6,lgbm,72,7,42000,3.747731773245455,1.2342883753898535,212533.52267848852,5.06032196853544
8,lgbm,168,7,42000,5.3385842900944525,1.2552805797712854,250763.20696593178,5.9705525468079
9,lgbm,336,7,42000,3.392070682251959,1.1340797951345944,86882.02847733621,2.068619725650862
