market,factor,n_obs,n_inst,naive_b,naive_t,adj_b,adj_t,adj2_b,adj2_t,verdict_naive,verdict_adj,verdict_adj2,flips,flip_kind,t_attenuation,sign_consistency,ls_sr_ann,ls_n_days
crypto,momentum,15620,11,0.0006838596996644743,2.259347030665481,0.00037426528510961634,2.109835155992263,0.0005350523325509889,1.7264411934376138,True,True,False,False,none,0.06617481628269985,0.5454545454545454,-0.034362750918951884,1420
crypto,vol,15620,11,0.00041310220407778813,1.3646722912993858,6.399587404774161e-05,0.36070724589733055,-0.0006294218821248044,-1.255710651240159,False,False,False,False,none,0.7356821500679731,0.8181818181818182,0.5163497737312206,1420
crypto,revers,15620,11,-6.891435396326173e-05,-0.22764356569308733,0.00011784548282366846,0.6642633053966088,-0.00011816305119507505,-0.38968681568862246,False,False,False,False,none,-1.9179972795289157,0.5454545454545454,0.2522619089057447,1420
equities,momentum,36379,7,-0.00051936573656467,-6.393914035614491,-7.078616904469779e-05,-1.5999582083090798,-0.0005144098754163273,-6.25673474674963,True,False,True,True,spurious_killed,0.749768576900164,1.0,-0.03405061676456093,5197
equities,vol,36379,7,0.00017355555367742155,2.135577482313214,2.34347134866067e-05,0.5299512185311896,0.00019165670449625594,1.6503044038903614,True,False,False,True,spurious_killed,0.7518464102000602,1.0,0.470608689343526,5197
equities,revers,36379,7,-0.0009719499568636414,-11.982540357016122,-0.00021621257379228042,-4.883047272243602,-0.0009702919802529372,-11.960320166293569,True,True,True,False,none,0.5924864739232837,1.0,-0.554589975443649,5197
forex,momentum,11352,8,5.903772300028944e-07,0.015201977545337341,1.8658117743804547e-05,0.5043630273080867,5.05161190949412e-07,0.01300723517785666,False,False,False,False,none,-32.17746166718977,0.25,0.21825198931681358,1419
forex,vol,11352,8,2.969922957341125e-05,0.7647629782112468,6.738488062673235e-06,0.18214035594966327,3.9084679632393956e-05,0.5063119110671777,False,False,False,False,none,0.761834239967467,0.625,0.04006510117896767,1419
forex,revers,11352,8,-7.135702643312353e-05,-1.8376882053011383,-6.317274098470548e-05,-1.7080142924918396,-7.153343707038312e-05,-1.8421277396521136,False,False,False,False,none,0.07056360944972097,0.75,-0.2619739459658828,1419
