feature,crypto,equities,forex
ent_konto,-0.01878865166585189,-0.021008557866290797,0.005825570445614867
ent_lz,0.001237097643980262,-0.0545497409299465,-0.0067638146218080165
ent_shannon,-0.007223015084311577,-0.023416407047466708,0.017062010641018477
sadf,0.011942585639585742,-0.04571348997818803,0.00039003648743353523
