market,instrument,feature,n_oos,sharpe,mean,skew,kurt
crypto,BTCUSDT,sadf,5934,0.018490366885276183,0.0004963788954951915,0.009725145215938109,3.9983947758745706
crypto,BTCUSDT,ent_shannon,5896,-0.01570255957185292,-0.0004207461618001705,-0.018168124045212817,3.9796336783962487
crypto,BTCUSDT,ent_lz,5896,-0.018642522756842268,-0.0004996706438903417,0.0835401969545923,3.985488920697042
crypto,BTCUSDT,ent_konto,5896,0.0034264397086966186,9.183094271128164e-05,-0.032801400103281024,3.9837101452073247
crypto,ETHUSDT,sadf,5934,0.03065891032964252,0.0010306343194495188,-0.1650697296869977,5.002365958212576
crypto,ETHUSDT,ent_shannon,5896,-0.018774878247619052,-0.0006243049704161586,0.10509209110935362,4.993311335374102
crypto,ETHUSDT,ent_lz,5896,0.009996351758749564,0.00033246434886406267,0.0862725290028329,4.97177751853253
crypto,ETHUSDT,ent_konto,5896,-0.03724559785898959,-0.0012378748920130911,-0.11018095855144375,4.97124735566991
crypto,SOLUSDT,sadf,5935,-0.036583934927551985,-0.001957767955531642,-0.3057650747143098,8.677839985018034
crypto,SOLUSDT,ent_shannon,5897,-0.06079116316268974,-0.003233398611141938,-0.3850453021263167,8.772357036163582
crypto,SOLUSDT,ent_lz,5897,0.0212058042678001,0.001129750897598866,-0.027224629734762345,8.83123835862339
crypto,SOLUSDT,ent_konto,5897,-0.015177870644529341,-0.0008087319232647464,0.044893969711641425,8.827866941798074
crypto,XRPUSDT,sadf,5934,0.02171164323399,0.000883177867604981,-0.09750758489751807,5.8929660579205665
crypto,XRPUSDT,ent_shannon,5896,-0.04403940484694031,-0.0017768514650315598,0.12604934577295432,5.987225337049223
crypto,XRPUSDT,ent_lz,5896,0.009531211931543016,0.0003848616358985263,0.04020815615118392,5.953579732275271
crypto,XRPUSDT,ent_konto,5896,-0.0373946578327517,-0.0015090703096930654,0.08003151737314447,5.970342647582988
crypto,DOGEUSDT,sadf,5935,0.02996935128690948,0.001448845316035777,-0.31287058744380847,5.473078651574718
crypto,DOGEUSDT,ent_shannon,5897,-0.05070513894899917,-0.0024406823312257634,-0.36769562138947787,5.410966901481358
crypto,DOGEUSDT,ent_lz,5897,0.021080566595375466,0.001015909009347992,0.2951873564007163,5.44919684186483
crypto,DOGEUSDT,ent_konto,5897,-0.0349083033446454,-0.0016816517363645144,-0.364685587212915,5.426167464743896
crypto,BNBUSDT,sadf,5935,0.02939634464697329,0.0009243398177264723,-0.07891058783936689,4.695293769310993
crypto,BNBUSDT,ent_shannon,5897,0.02134925453293882,0.0006719022300242084,-0.006364689745884655,4.695378447947588
crypto,BNBUSDT,ent_lz,5897,0.009512907036831837,0.000299456186435859,0.1386358496206511,4.6862119440288135
crypto,BNBUSDT,ent_konto,5897,0.010983997460783077,0.00034577489692636914,0.026454338780507503,4.6914956059192265
crypto,LINKUSDT,sadf,5934,0.011278675897088855,0.0005206773798845516,0.2240326879107873,4.5496700870814095
crypto,LINKUSDT,ent_shannon,5896,0.023144657969938268,0.0010681334353996907,-0.012628596112759169,4.575095566509724
crypto,LINKUSDT,ent_lz,5896,-0.041101332821705264,-0.0018959818450908668,-0.1673955819377863,4.54996202505549
crypto,LINKUSDT,ent_konto,5896,-0.03633148840174021,-0.0016761930693819625,-0.08285728035212742,4.562700808027782
crypto,AVAXUSDT,sadf,5934,-0.03319166140838145,-0.0017093383612057141,-0.13326597468147247,4.119531760950249
crypto,AVAXUSDT,ent_shannon,5896,0.048709836028406596,0.002507794392463122,-0.010206214422518152,4.154138964682372
crypto,AVAXUSDT,ent_lz,5896,-0.021076558438917783,-0.001086284686882004,-0.12374593326286842,4.137021736321396
crypto,AVAXUSDT,ent_konto,5896,0.02935207186020065,0.0015123954098219023,0.03488969991486122,4.145125542215282
crypto,LTCUSDT,sadf,5935,-0.012972600644058275,-0.0004974728269734411,-0.120909694831829,5.639990551150151
crypto,LTCUSDT,ent_shannon,5897,0.04828032579165146,0.0018511979217386656,0.17165092571578836,5.635306690636934
crypto,LTCUSDT,ent_lz,5897,0.01268052563857764,0.000486846997635793,0.2090761589224688,5.646306172631141
crypto,LTCUSDT,ent_konto,5897,-0.024860466183441607,-0.0009541615397122404,-0.12040183104669137,5.647126162565486
crypto,ATOMUSDT,sadf,5935,0.01956590523569664,0.0009059065123146555,0.19517452814179356,4.568033115683558
crypto,ATOMUSDT,ent_shannon,5897,-0.06062632095799992,-0.00280914852900456,-0.08541334736361905,4.559546806804393
crypto,ATOMUSDT,ent_lz,5897,-0.003312487434977771,-0.00015376575546622746,-0.00727295827964407,4.573246310547813
