instrument,rule,n_oos,sharpe,skew,kurt
BTCUSDT,R_expl_dir,5896,0.028732893160663252,-0.13421260175915642,24.71558726054022
BTCUSDT,R_loent_dir,5896,-0.03141617598301468,-0.05503045353852921,8.569336483295839
BTCUSDT,R_hient_dir,5896,0.028611590259740215,-0.13885587961625728,7.467797453255455
ETHUSDT,R_expl_dir,5896,0.01818898270731321,-0.9909836407724248,36.21234989832976
ETHUSDT,R_loent_dir,5896,-0.04815073723574162,-0.5575121132437026,11.833759130404761
ETHUSDT,R_hient_dir,5896,0.010053047505147555,-0.30997183078602975,8.443363375373396
SOLUSDT,R_expl_dir,5897,-0.030300270794995848,-1.4574051943050006,57.78237126867138
SOLUSDT,R_loent_dir,5897,-0.0680373624714849,-1.1175934593274242,20.192799542566302
SOLUSDT,R_hient_dir,5897,-0.02282697029225006,-0.06133494980521421,11.812256651466011
XRPUSDT,R_expl_dir,5896,-0.018800434643162736,-1.2407333133215082,45.34603849064471
XRPUSDT,R_loent_dir,5896,-0.026751301360194848,-0.15719160181904235,14.796155694610565
XRPUSDT,R_hient_dir,5896,-0.06555615089278953,-0.6263014230278496,9.47707714698139
DOGEUSDT,R_expl_dir,5897,0.030230104706797326,-1.4079795413483382,41.77436909479148
DOGEUSDT,R_loent_dir,5897,-0.03733140541618664,-0.9633558465020845,14.529078098631713
DOGEUSDT,R_hient_dir,5897,-0.03988858252532363,-0.16856351685749796,7.291446269943162
BNBUSDT,R_expl_dir,5897,-0.0023137524875940243,-0.46267711039632253,32.965491234705325
BNBUSDT,R_loent_dir,5897,-0.05357640699191832,-0.4001916782700218,9.42999125794876
BNBUSDT,R_hient_dir,5897,0.02505954594931306,-0.14824321908415697,8.48962098323913
LINKUSDT,R_expl_dir,5896,0.0131978502583142,-0.7526562997161105,35.568712008432286
LINKUSDT,R_loent_dir,5896,0.014386004974100784,-0.4141631695760473,10.256716083524653
LINKUSDT,R_hient_dir,5896,0.01834184866411065,0.4821632967153304,8.024329706892553
AVAXUSDT,R_expl_dir,5896,-0.026177216995210126,-1.303017415375666,29.930589047280215
AVAXUSDT,R_loent_dir,5896,0.023205074887217857,-0.2199564387034721,9.063389007561735
AVAXUSDT,R_hient_dir,5896,0.04560803550221168,0.39904650619743604,7.508122749278008
LTCUSDT,R_expl_dir,5897,-0.027497155520335353,-0.5089774420878631,52.82860386311092
LTCUSDT,R_loent_dir,5897,0.041677854342762145,1.2714423187602963,15.064910482633312
LTCUSDT,R_hient_dir,5897,0.027619377876183262,-0.27608769060558647,8.72196452953016
ATOMUSDT,R_expl_dir,5897,0.012888353644881199,0.15356421951880594,36.00617469182436
ATOMUSDT,R_loent_dir,5897,0.027376600714785416,0.4210886424589058,10.189847022650769
ATOMUSDT,R_hient_dir,5897,0.018758215564420463,0.028591401839620965,8.070402022460025
BCHUSDT,R_expl_dir,5892,0.013281733103290153,-1.1190686471715814,56.22498433954022
BCHUSDT,R_loent_dir,5892,-0.03146249471569326,-0.31010651537184525,15.343654646262687
BCHUSDT,R_hient_dir,5892,-0.0444034482964487,-0.11340850505718075,10.044403678286049
DOTUSDT,R_expl_dir,5896,-0.02640807744500991,-0.6301275609160317,36.73154990956586
DOTUSDT,R_loent_dir,5896,-0.05287468556765553,-0.44839595342734156,11.860760869646828
DOTUSDT,R_hient_dir,5896,0.04121758124074419,0.28390730019635557,6.238737510222182
SPY,R_expl_dir,5896,0.024063665785608968,1.4765018808000927,81.11777172611094
SPY,R_loent_dir,5896,0.01978943704567875,-0.14201865242978043,18.335386228311627
SPY,R_hient_dir,5896,0.05483712264501388,-0.4276437314372286,7.619997119853001
QQQ,R_expl_dir,5897,0.02721854567001151,-0.26957371362235355,48.256686725752104
QQQ,R_loent_dir,5897,0.031731360620517325,-0.1959146754379849,12.766526167541729
QQQ,R_hient_dir,5897,0.0798574177168239,-0.1219939563207217,9.250127259131984
IWM,R_expl_dir,5896,0.02193933349806995,0.1404472282284722,68.96950440850743
IWM,R_loent_dir,5896,0.01368810572159361,-0.6607917524406003,14.329503027931718
IWM,R_hient_dir,5896,0.0175811806336834,-0.045187456334222866,8.994050108016518
XLK,R_expl_dir,5896,0.04204976588656354,1.8638886975845068,42.4707886612531
XLK,R_loent_dir,5896,0.05345039389792372,-0.3513774588313491,9.239609149354289
