instrument,rule,n_oos,sharpe,skew,kurt
BTCUSDT,R_expl_dir,696,-0.06539186408093366,-1.5464907160945418,22.07342960883912
BTCUSDT,R_loent_dir,696,0.09648726412760547,0.45451152742558076,7.3300970272651655
BTCUSDT,R_hient_dir,696,0.09704856703349532,0.4082211388590914,5.577491484339665
ETHUSDT,R_expl_dir,696,0.032074130097527825,-0.8585803094884401,24.399062696069254
ETHUSDT,R_loent_dir,696,-0.06403465820317338,-0.051117176516454775,7.3164181082262925
ETHUSDT,R_hient_dir,696,-0.17832687782644882,-0.16956925293889563,5.295235985725485
SPY,R_expl_dir,696,0.19498073359775972,3.1652496753313257,18.302838098458526
SPY,R_loent_dir,696,-0.14467318302702098,-0.6038568190400586,8.566592379664405
SPY,R_hient_dir,696,0.026722194653074127,0.030550782301792898,5.447911068652346
XLK,R_expl_dir,697,0.2060766026547561,1.9378384103245352,12.214375258649593
XLK,R_loent_dir,697,-0.16523860434099902,-0.24030002972371134,6.228936785701422
XLK,R_hient_dir,697,-0.08460146398514895,-10.986383450666086,126.78720312098814
EURUSD,R_expl_dir,697,0.07100863600201583,2.981612034328735,29.887051553747508
EURUSD,R_loent_dir,697,0.090797002624434,1.0988875309095625,9.312470378118396
EURUSD,R_hient_dir,697,-0.0866764070988434,0.17613146008990646,6.675559874808463
USDJPY,R_expl_dir,696,-0.02140472605848219,-1.2913752630288244,17.471567787045252
USDJPY,R_loent_dir,696,-0.14443345138194133,-0.9714938785786013,8.1196860709173
USDJPY,R_hient_dir,696,-0.08955209332716206,-0.34969566420537757,4.8545745005904894
