market,mean_clock,mean_cusum,mean_delta,n
crypto,-0.0032079958666493664,-0.003093289903121056,0.00011470596352830987,48
equities,-0.036172048955473005,-0.03947937898279543,-0.0033073300273224276,28
forex,0.004128450738064717,0.0011667961611452283,-0.002961654576919487,32
