market,instrument,feature,family,sharpe_clock,n_clock,sharpe_cusum,n_cusum,delta_cusum_minus_clock
crypto,BTCUSDT,sadf,breaks(SADF),0.018490366885276183,5934,0.011063805816307705,2407,-0.007426561068968478
crypto,BTCUSDT,ent_shannon,entropy,-0.01570255957185292,5896,-0.023855344237396586,2390,-0.008152784665543665
crypto,BTCUSDT,ent_lz,entropy,-0.018642522756842268,5896,-0.0007036845035969873,2390,0.01793883825324528
crypto,BTCUSDT,ent_konto,entropy,0.0034264397086966186,5896,-0.0023071486375459654,2390,-0.0057335883462425845
crypto,ETHUSDT,sadf,breaks(SADF),0.03065891032964252,5934,0.00887778975808706,2428,-0.021781120571555457
crypto,ETHUSDT,ent_shannon,entropy,-0.018774878247619052,5896,-0.002938037158273285,2403,0.015836841089345768
crypto,ETHUSDT,ent_lz,entropy,0.009996351758749564,5896,0.028158764726171286,2403,0.018162412967421722
crypto,ETHUSDT,ent_konto,entropy,-0.03724559785898959,5896,-0.014348549498601357,2403,0.022897048360388236
crypto,SOLUSDT,sadf,breaks(SADF),-0.036583934927551985,5935,-0.02965831433417461,2511,0.006925620593377375
crypto,SOLUSDT,ent_shannon,entropy,-0.06079116316268974,5897,-0.06698621019322103,2482,-0.006195047030531288
crypto,SOLUSDT,ent_lz,entropy,0.0212058042678001,5897,0.003113834812235388,2482,-0.01809196945556471
crypto,SOLUSDT,ent_konto,entropy,-0.015177870644529341,5897,-0.014155847297698738,2482,0.0010220233468306028
crypto,XRPUSDT,sadf,breaks(SADF),0.02171164323399,5934,0.03440714866675566,2412,0.012695505432765663
crypto,XRPUSDT,ent_shannon,entropy,-0.04403940484694031,5896,-0.04753790473338759,2388,-0.0034984998864472858
crypto,XRPUSDT,ent_lz,entropy,0.009531211931543016,5896,0.008954610576926317,2388,-0.0005766013546166984
crypto,XRPUSDT,ent_konto,entropy,-0.0373946578327517,5896,-0.026569115194655234,2388,0.010825542638096465
crypto,DOGEUSDT,sadf,breaks(SADF),0.02996935128690948,5935,0.022903541515399254,2449,-0.0070658097715102265
crypto,DOGEUSDT,ent_shannon,entropy,-0.05070513894899917,5897,-0.047253927709443054,2430,0.0034512112395561137
crypto,DOGEUSDT,ent_lz,entropy,0.021080566595375466,5897,0.035700593485085884,2430,0.014620026889710418
crypto,DOGEUSDT,ent_konto,entropy,-0.0349083033446454,5897,-0.04735746490158937,2430,-0.01244916155694397
crypto,BNBUSDT,sadf,breaks(SADF),0.02939634464697329,5935,0.037209724490940295,2488,0.007813379843967006
crypto,BNBUSDT,ent_shannon,entropy,0.02134925453293882,5897,0.021451556327863646,2468,0.00010230179492482644
crypto,BNBUSDT,ent_lz,entropy,0.009512907036831837,5897,-0.006025186991532005,2468,-0.015538094028363841
crypto,BNBUSDT,ent_konto,entropy,0.010983997460783077,5897,0.00388925009439269,2468,-0.007094747366390387
crypto,LINKUSDT,sadf,breaks(SADF),0.011278675897088855,5934,0.002588434128795623,2405,-0.008690241768293232
crypto,LINKUSDT,ent_shannon,entropy,0.023144657969938268,5896,0.02908967977269681,2388,0.005945021802758542
crypto,LINKUSDT,ent_lz,entropy,-0.041101332821705264,5896,-0.051388433447312754,2388,-0.01028710062560749
crypto,LINKUSDT,ent_konto,entropy,-0.03633148840174021,5896,-0.023507245702530842,2388,0.01282424269920937
crypto,AVAXUSDT,sadf,breaks(SADF),-0.03319166140838145,5934,-0.028003320839592272,2450,0.005188340568789179
crypto,AVAXUSDT,ent_shannon,entropy,0.048709836028406596,5896,0.057319838442552395,2437,0.0086100024141458
crypto,AVAXUSDT,ent_lz,entropy,-0.021076558438917783,5896,0.008471294989639827,2437,0.029547853428557612
crypto,AVAXUSDT,ent_konto,entropy,0.02935207186020065,5896,0.029010475844166543,2437,-0.00034159601603410764
crypto,LTCUSDT,sadf,breaks(SADF),-0.012972600644058275,5935,-0.037333650627266575,2413,-0.024361049983208302
crypto,LTCUSDT,ent_shannon,entropy,0.04828032579165146,5897,0.059097971762278115,2397,0.010817645970626656
crypto,LTCUSDT,ent_lz,entropy,0.01268052563857764,5897,0.019168576294297024,2397,0.006488050655719384
crypto,LTCUSDT,ent_konto,entropy,-0.024860466183441607,5897,-0.048498156354898646,2397,-0.02363769017145704
crypto,ATOMUSDT,sadf,breaks(SADF),0.01956590523569664,5935,0.002579479906544459,2483,-0.01698642532915218
crypto,ATOMUSDT,ent_shannon,entropy,-0.06062632095799992,5897,-0.04219710842468799,2473,0.01842921253331193
crypto,ATOMUSDT,ent_lz,entropy,-0.003312487434977771,5897,-0.00413468659614055,2473,-0.0008221991611627793
crypto,ATOMUSDT,ent_konto,entropy,-0.05543397258650089,5897,-0.06400380341844839,2473,-0.008569830831947498
crypto,BCHUSDT,sadf,breaks(SADF),0.02736279167616865,5930,0.019786678845142465,2399,-0.007576112831026185
crypto,BCHUSDT,ent_shannon,entropy,-0.011519087173312155,5892,-0.01789133769451693,2378,-0.006372250521204775
crypto,BCHUSDT,ent_lz,entropy,-0.0342375915067065,5892,-0.05167348638869685,2378,-0.01743589488199035
crypto,BCHUSDT,ent_konto,entropy,0.01323887340412737,5892,0.013438349828830224,2378,0.00019947642470285326
crypto,DOTUSDT,sadf,breaks(SADF),0.03762523546327499,5934,0.029672645266087493,2492,-0.007952590197187494
crypto,DOTUSDT,ent_shannon,entropy,0.0339982975747392,5896,0.02621913986024254,2483,-0.007779157714496658
crypto,DOTUSDT,ent_lz,entropy,0.04920829745803511,5896,0.06027413550475758,2483,0.011065838046722475
crypto,DOTUSDT,ent_konto,entropy,-0.04111284557143167,5896,-0.022597271180799388,2483,0.01851557439063228
equities,SPY,sadf,breaks(SADF),-0.02906778401773227,5934,-0.043960633290461584,2436,-0.014892849272729314
equities,SPY,ent_shannon,entropy,-0.025374070942234817,5896,-0.03997113387416866,2420,-0.014597062931933844
equities,SPY,ent_lz,entropy,-0.021110715920778594,5896,-0.007137222768237795,2420,0.0139734931525408
equities,SPY,ent_konto,entropy,0.031309353931313066,5896,0.031150860599116963,2420,-0.0001584933321961031
equities,QQQ,sadf,breaks(SADF),-0.040148112777767954,5935,-0.044638060597804896,2413,-0.004489947820036942
equities,QQQ,ent_shannon,entropy,0.03371104184839393,5897,0.013026004797922945,2400,-0.020685037050470985
equities,QQQ,ent_lz,entropy,-0.025358057574673205,5897,-0.01811389442249325,2400,0.007244163152179954
equities,QQQ,ent_konto,entropy,0.026060770009698645,5897,0.04332295792800468,2400,0.017262187918306037
equities,IWM,sadf,breaks(SADF),-0.07037474312293068,5934,-0.06492928935515288,2446,0.0054454537677778025
equities,IWM,ent_shannon,entropy,-0.02791531198135515,5896,-0.04823061319929674,2434,-0.020315301217941586
equities,IWM,ent_lz,entropy,0.0022600117340072553,5896,-0.008810112935494937,2434,-0.011070124669502192
equities,IWM,ent_konto,entropy,-0.05109465092762457,5896,-0.04755771133662286,2434,0.0035369395910017157
equities,XLK,sadf,breaks(SADF),-0.04977472544788024,5934,-0.04470860737969219,2305,0.005066118068188047
equities,XLK,ent_shannon,entropy,-0.05452261654276888,5896,-0.04371091325661903,2270,0.010811703286149853
equities,XLK,ent_lz,entropy,-0.0841281161861717,5896,-0.09436667985440282,2270,-0.010238563668231115
equities,XLK,ent_konto,entropy,-0.025209213945829263,5896,-0.05048433635007161,2270,-0.025275122404242345
equities,XLF,sadf,breaks(SADF),-0.07971530670544263,5934,-0.10813895327682624,2374,-0.028423646571383604
equities,XLF,ent_shannon,entropy,-0.01962361933212297,5896,-0.01914378352013145,2358,0.00047983581199152053
equities,XLF,ent_lz,entropy,-0.17061599054538143,5896,-0.15477006259070272,2358,0.015845927954678707
equities,XLF,ent_konto,entropy,-0.029622021748447316,5896,-0.03603078436501544,2358,-0.006408762616568121
equities,XLE,sadf,breaks(SADF),-0.042539876782045245,5935,-0.0594150523876517,2406,-0.016875175605606453
equities,XLE,ent_shannon,entropy,-0.02482830983169053,5897,-0.026847793401420475,2393,-0.0020194835697299462
equities,XLE,ent_lz,entropy,-0.016380889050137994,5897,-0.011827355869521765,2393,0.004553533180616229
equities,XLE,ent_konto,entropy,-0.0487894477644164,5897,-0.059701017795985835,2393,-0.010911570031569437
equities,XLV,sadf,breaks(SADF),-0.008373880993517175,5935,-0.025917088680266077,2376,-0.017543207686748902
equities,XLV,ent_shannon,entropy,-0.045361962550488535,5897,-0.03422154669233585,2342,0.011140415858152689
equities,XLV,ent_lz,entropy,-0.06651442896648983,5897,-0.06483082823992688,2342,0.001683600726562956
equities,XLV,ent_konto,entropy,-0.04971469461872973,5897,-0.03545895940301312,2342,0.01425573521571661
forex,EURUSD,sadf,breaks(SADF),0.011225545473123938,5934,0.012855439293021466,2306,0.0016298938198975287
forex,EURUSD,ent_shannon,entropy,0.02528486335978868,5896,0.051979886627337,2292,0.02669502326754832
forex,EURUSD,ent_lz,entropy,0.024738036170635386,5896,0.026147821249550632,2292,0.001409785078915246
forex,EURUSD,ent_konto,entropy,-0.0398115121360027,5896,-0.05153658084368166,2292,-0.011725068707678955
forex,GBPUSD,sadf,breaks(SADF),0.01807833372341904,5934,0.009979518076452337,2288,-0.008098815646966701
forex,GBPUSD,ent_shannon,entropy,0.032270242701893506,5896,0.02815050485092255,2280,-0.004119737850970955
forex,GBPUSD,ent_lz,entropy,-0.03947046648763963,5896,-0.0653892619422076,2280,-0.02591879545456796
forex,GBPUSD,ent_konto,entropy,0.026117902382722442,5896,0.026630615750438957,2280,0.0005127133677165149
forex,USDJPY,sadf,breaks(SADF),0.033392002061136176,5934,-0.008808306100752741,2249,-0.04220030816188892
forex,USDJPY,ent_shannon,entropy,0.06272214580882506,5896,0.04738192205245902,2232,-0.015340223756366032
forex,USDJPY,ent_lz,entropy,-0.004801753165477641,5896,-0.003352334679008372,2232,0.001449418486469269
forex,USDJPY,ent_konto,entropy,0.04426788963234944,5896,0.019540434460352897,2232,-0.024727455171996544
forex,USDCHF,sadf,breaks(SADF),-0.028665596022386736,5934,-0.04118914024539693,2324,-0.012523544223010195
forex,USDCHF,ent_shannon,entropy,0.052587995252814254,5896,0.047314999828637204,2309,-0.00527299542417705
forex,USDCHF,ent_lz,entropy,0.020482726454403223,5896,0.015268467361810159,2309,-0.005214259092593064
forex,USDCHF,ent_konto,entropy,0.04267324496629759,5896,0.03718536791293541,2309,-0.005487877053362178
forex,USDCAD,sadf,breaks(SADF),-0.004581130312927806,5935,0.017868140611869185,2350,0.02244927092479699
forex,USDCAD,ent_shannon,entropy,0.020649365457431724,5897,0.031108743693644,2336,0.010459378236212277
forex,USDCAD,ent_lz,entropy,0.042321194619117423,5897,0.05088497248770846,2336,0.008563777868591034
forex,USDCAD,ent_konto,entropy,-0.0631368556770203,5897,-0.05081467188640854,2336,0.012322183790611764
forex,AUDUSD,sadf,breaks(SADF),-0.024454539624946956,5935,-0.03795449116298002,2423,-0.013499951538033062
forex,AUDUSD,ent_shannon,entropy,-0.1176239118802827,5897,-0.12404098420917684,2412,-0.00641707232889413
forex,AUDUSD,ent_lz,entropy,-0.035812407188909906,5897,-0.05782219319965687,2412,-0.022009786010746962
forex,AUDUSD,ent_konto,entropy,0.017037172364572438,5897,0.004818185348088313,2412,-0.012218987016484124
forex,NZDUSD,sadf,breaks(SADF),0.04213004448202863,5934,0.05343899722921569,2417,0.01130895274718706
forex,NZDUSD,ent_shannon,entropy,0.022781384326617506,5896,0.01528298672987843,2402,-0.007498397596739075
forex,NZDUSD,ent_lz,entropy,-0.04278642053784481,5896,-0.07595708745277459,2402,-0.03317066691492978
forex,NZDUSD,ent_konto,entropy,0.0027715339257596743,5896,0.02971831246804672,2402,0.026946778542287046
