market,name,n_ev,frac_act,d_dsr_prob,d_dsr_disc,d_pf_prob,d_pf_disc,d_sr_prob,d_sr_disc,turn_ratio_prob,turn_ratio_disc,fixed_dsr,prob_dsr,disc_dsr,fixed_turn,prob_turn,disc_turn,pbo_prob,eff_n
equities,QQQ,330,0.0121,-0.2188,0.1282,10.0154,0.2357,-0.091,-0.1119,0.0045,0.0364,0.4885,0.2697,0.6167,22.0,0.0994,0.8,0.496,4
equities,IWM,374,0.1684,-0.1318,-0.0524,0.077,0.1778,-0.0292,0.0124,0.1416,0.1312,0.3208,0.189,0.2684,109.0,15.4371,14.3,0.2103,3
equities,XLK,336,0.4107,0.0116,0.069,0.056,0.1157,0.0548,0.1015,0.1632,0.1607,0.0931,0.1047,0.162,234.0,38.1842,37.6,0.5516,3
equities,XLF,248,0.5645,-0.0327,0.0363,-0.0049,0.0226,-0.0855,-0.0684,0.1335,0.1287,0.2862,0.2536,0.3225,279.0,37.2361,35.9,0.2738,4
equities,XLE,248,0.5726,-0.2707,-0.271,0.007,0.0077,-0.027,-0.0346,0.1845,0.184,0.5835,0.3127,0.3125,282.0,52.019,51.9,0.4841,4
equities,XLV,350,0.2857,-0.0004,0.0142,-0.0619,-0.0528,-0.0831,-0.0798,0.1039,0.0997,0.0034,0.003,0.0176,196.6667,20.4363,19.6,0.0397,3
forex,AUDUSD,242,0.4091,-0.0008,0.0033,0.3147,0.551,0.598,0.7843,0.1732,0.1538,0.0041,0.0033,0.0074,182.0,31.5279,28.0,0.0,3
forex,EURGBP,378,0.3889,0.1026,0.2088,0.0162,0.1773,-0.0451,0.3315,0.6375,0.079,0.0726,0.1752,0.2814,100.0,63.7461,7.9,0.9603,3
forex,EURUSD,364,0.6703,0.026,-0.0282,-0.1453,-0.1209,-0.742,-0.6664,0.1909,0.1852,0.562,0.588,0.5338,488.0,93.1426,90.4,0.8532,3
forex,GBPUSD,229,0.5328,-0.0314,-0.0263,-0.1128,-0.0851,-0.2002,-0.1226,0.3427,0.3378,0.4994,0.468,0.4731,164.0,56.2035,55.4,0.7778,3
forex,NZDUSD,344,0.5291,-0.0057,-0.0026,-0.103,-0.0826,-0.374,-0.2778,0.1364,0.1308,0.0078,0.0021,0.0052,364.0,49.6349,47.6,0.0794,3
forex,USDCAD,266,0.4962,-0.0577,0.0073,-0.0597,0.1031,-0.1756,0.3786,0.1424,0.123,0.0837,0.026,0.091,244.0,34.7504,30.0,0.6706,4
forex,USDCHF,234,0.3419,-0.0397,-0.0368,0.032,0.0505,0.0808,0.1069,0.1567,0.1575,0.0903,0.0506,0.0535,160.0,25.0788,25.2,0.1825,3
forex,USDJPY,244,0.3156,0.0357,0.1266,0.1861,0.3276,0.0628,0.2014,0.1358,0.1325,0.6508,0.6865,0.7774,154.0,20.9166,20.4,0.5714,3
