market,universe,family,median_oos_pf,median_oos_sharpe_ann,dsr_survive,pbo
crypto perps,787 perp pairs,lgbm,1.123,2.66,10/10 horizons,0.1
US equities,250 large-cap names,lgbm,1.1051,0.527,0/5 horizons,
