pair,n,T,best_sr_ann,pbo,eff_n
IWM,2500,4876,2.9785450451304443,0.0,11
QQQ,2500,4876,3.2056537778242755,0.0,12
SPY,2500,4876,2.437588222698433,0.0,9
UVXY,2500,3590,0.45305605121023085,0.0,6
VXX,2500,4339,-0.09125637966428439,0.0,7
XLE,2500,4876,0.12825443272503934,0.0,7
XLF,2500,4876,0.23752400769870805,0.0,8
XLK,2500,4864,0.4144529430902021,0.0,7
XLV,2500,4874,0.03649137218095417,0.0,9
