pair,n,T,best_sr_ann,pbo,eff_n
AUDUSD,2500,936,0.7651359314947878,0.0,7
EURGBP,2500,936,0.6063836163656537,0.0,6
EURUSD,2500,936,1.3728180031804282,0.06493506493506493,7
GBPUSD,2500,936,-0.035635962465926985,0.09090909090909091,6
NZDUSD,2500,935,0.09925180343421044,0.0,7
USDCAD,2500,936,0.6609489992385049,0.010822510822510822,6
USDCHF,2500,936,0.6569013394954166,0.0,7
USDJPY,2500,936,1.7789951883223092,0.06493506493506493,6
