market,n_strat,n_pairs,best_SR_ann,null_E[max]_ann,DSR_best,median_PBO,eff_N_pooled,best<null?,DSR>0.95?
crypto,50000,20,2.000925976264432,2.720765460423137,0.0286669516765122,0.2775974025974026,434,yes,no
equity,22500,9,3.2056537778242755,10.885843409914743,1.7538342625370249e-245,0.0,39,yes,no
fx,20000,8,1.7789951883223092,7.7010839291652,2.8961715301307004e-30,0.0054112554112554,26,yes,no
