market,instrument,T,N_trials,best_sr_ann,sr0_ann,dsr,pbo,eff_trials,corr_med
crypto,BTCUSDT,8750,136,0.6521023362975311,0.6176638031858441,0.5285752679370536,0.7781385281385281,3,0.5604315891747904
crypto,ETHUSDT,8750,136,0.6671602647206817,0.5969062787296784,0.5582596958810381,0.7326839826839827,3,0.5572677478143684
crypto,SOLUSDT,8750,136,1.1920034951951362,0.6910049504493543,0.8527805625015281,0.2727272727272727,3,0.5724749818873787
crypto,BNBUSDT,8750,136,0.5892562617437456,0.7687351751514089,0.3543127686284204,0.5887445887445888,3,0.5442499159113757
crypto,DOGEUSDT,8748,136,1.111877985811195,0.8040412929273065,0.7406544098251012,0.275974025974026,3,0.5701860662783191
crypto,XRPUSDT,8745,136,0.430231865658919,0.6510980588291022,0.3227724978361917,0.7435064935064936,3,0.5532307963926204
crypto,LTCUSDT,8750,136,0.3479165950559557,0.5875174472844024,0.3088613186093765,0.7034632034632035,3,0.5254062567516284
crypto,LINKUSDT,8750,136,0.46076797462625624,0.6667672974679949,0.3336991914678978,0.6958874458874459,3,0.5651189233493619
equity,SPY,42462,136,0.3113453777925963,0.44071415932644936,0.2755787072589009,0.3474025974025974,3,0.5508458554998177
equity,QQQ,42451,136,0.41947494014801684,0.5053178954586761,0.3465428401747197,0.15800865800865802,3,0.5381504988717654
equity,IWM,42441,136,0.19998353188818835,0.2838285276499724,0.3501909872587683,0.4880952380952381,3,0.5364946059516189
equity,XLK,42271,136,0.21931253679830862,0.33576817138744136,0.31570229306988207,0.3841991341991342,2,0.6906588872831836
equity,XLF,42436,136,0.5503794548801145,0.5186817081668718,0.558375202670555,0.2510822510822511,3,0.5233627731890702
equity,XLE,42438,136,0.1265142586844437,0.27544539389499173,0.2534703887083368,0.5497835497835498,2,0.6342250278636561
equity,XLV,42296,136,0.30635818559558414,0.4359659074663616,0.2760687552841756,0.47619047619047616,3,0.5362372707353755
forex,EURUSD,8735,136,0.4028318369983717,1.0320536689197721,0.0949621988568124,0.5054112554112554,3,0.4862404114783519
forex,USDJPY,8735,136,1.36401033717058,1.2774875542821977,0.5711580882258946,0.35714285714285715,3,0.5049934473313068
forex,GBPUSD,8735,136,0.9766245634951665,1.0901421845930566,0.406052964232975,0.37987012987012986,3,0.5127026319967625
forex,AUDUSD,8735,136,0.0556819331711142,0.9848193605892149,0.026554684692454207,0.6201298701298701,3,0.4990682446234114
forex,USDCHF,8735,136,0.8108769052649367,0.8061214377136781,0.5039577750298714,0.5584415584415584,3,0.5186593218684428
forex,USDCAD,8735,136,0.15190024210820485,1.2347671473753314,0.012082087740316138,0.2132034632034632,3,0.4836362927231906
forex,NZDUSD,8735,136,0.6591706085702571,1.4251850184430759,0.055323075964240645,0.26731601731601734,3,0.5028179922937343
forex,EURGBP,8735,136,0.348857054603153,0.9317965675610091,0.11134676311435421,0.1331168831168831,3,0.5159434245662984
